large-perc,small-perc,not-enough,enough-wide,enough-narrow,enough-guards-wide,enough-guards-narrow,num-ants,large-narrow,large-wide,small-narrow,small-wide,ln1,ln2,lw1,lw2,h
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,1,1,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,0,0,2,0,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,0,0,0,2,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,1,1,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,0,0,0,2,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,0,0,2,0,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,1,1,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,0,1,1,0,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,0,0,1,1,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,0,0,2,0,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,0,1,1,0,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,0,0,2,0,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,1,0,0,1,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,1,1,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,2,0,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,0,1,0,1,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,1,1,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,0,1,1,0,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,1,0,0,1,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,1,1,0,1,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,1,0,1,1,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,0,0,0,3,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,1,1,1,0,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,1,0,0,2,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,1,1,0,1,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,0,1,2,0,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,0,1,0,2,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,1,2,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,0,0,2,1,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,1,1,1,0,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,1,1,1,0,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,0,1,1,1,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,0,0,1,2,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,0,2,0,1,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,2,1,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,1,0,1,1,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,0,2,1,0,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,1,2,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,3,2,2,0,0,2,0,1,0,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,0,1,0,3,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,1,2,0,1,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,0,0,3,1,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,0,2,1,1,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,1,2,1,0,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,0,2,1,1,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,1,1,0,2,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,2,2,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,1,1,0,2,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,1,1,1,1,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,0,0,3,1,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,2,0,1,1,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,2,1,0,1,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,1,0,1,2,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,0,2,2,0,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,1,2,1,0,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,1,0,2,1,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,1,1,2,0,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,2,1,1,0,0
0.9,0.1,0.9,0.1,0.1,12,2,4,2,2,0,0,1,2,0,1,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,2,2,0,1,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,0,1,2,2,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,1,2,2,0,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,1,1,2,1,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,1,2,2,0,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,2,1,2,0,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,1,1,1,2,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,1,1,1,2,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,0,1,1,3,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,0,2,0,3,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,0,2,2,1,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,2,1,0,2,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,0,2,2,1,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,2,2,0,1,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,0,2,3,0,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,1,0,2,2,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,1,2,0,2,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,1,0,2,2,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,1,1,3,0,0
0.9,0.1,0.9,0.1,0.1,12,2,5,2,2,0,0,2,0,2,1,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,1,2,2,1,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,1,0,4,1,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,0,0,1,5,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,1,2,2,1,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,1,2,2,1,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,1,2,1,2,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,0,2,2,2,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,2,2,1,1,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,1,3,2,0,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,2,0,3,1,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,1,2,0,3,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,1,2,0,3,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,2,2,2,0,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,2,1,2,1,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,1,1,1,3,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,2,1,3,0,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,2,2,1,1,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,1,0,3,2,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,2,2,0,2,0
0.9,0.1,0.9,0.1,0.1,12,2,6,2,2,0,0,1,2,1,2,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,2,2,1,2,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,0,1,5,1,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,0,2,3,2,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,2,1,1,3,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,2,2,1,2,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,0,1,4,2,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,3,1,2,1,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,2,2,3,0,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,1,2,4,0,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,2,2,1,2,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,1,2,2,2,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,2,1,2,2,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,3,1,1,2,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,2,2,1,2,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,2,2,1,2,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,1,2,0,4,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,2,1,3,1,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,0,1,3,3,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,2,0,3,2,0
0.9,0.1,0.9,0.1,0.1,12,2,7,2,2,0,0,2,2,0,3,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,2,2,1,3,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,2,2,3,1,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,2,2,3,1,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,2,2,2,2,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,2,1,3,2,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,1,2,1,4,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,2,2,2,2,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,2,2,1,3,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,2,1,2,3,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,1,2,5,0,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,2,1,4,1,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,2,0,2,4,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,2,2,3,1,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,0,1,5,2,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,2,2,2,2,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,2,2,2,2,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,1,2,2,3,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,2,1,0,5,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,2,2,3,1,0
0.9,0.1,0.9,0.1,0.1,12,2,8,2,2,0,0,2,2,2,2,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,2,3,2,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,1,2,3,3,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,2,3,2,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,2,1,4,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,2,3,2,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,0,2,5,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,1,3,3,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,0,3,4,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,2,2,3,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,2,2,3,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,1,3,3,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,2,4,1,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,2,2,3,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,1,2,2,4,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,2,2,3,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,3,2,2,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,4,0,3,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,1,2,1,5,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,2,3,2,0
0.9,0.1,0.9,0.1,0.1,12,2,9,2,2,0,0,2,2,2,3,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,2,2,3,3,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,2,1,4,3,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,2,2,5,1,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,2,2,3,3,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,2,1,4,3,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,3,1,3,3,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,2,2,5,1,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,2,3,4,1,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,2,2,5,1,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,1,2,6,1,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,1,2,4,3,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,2,1,5,2,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,1,2,4,3,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,2,2,2,4,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,2,2,3,3,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,3,2,3,2,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,2,0,3,5,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,2,1,2,5,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,2,2,4,2,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,1,4,4,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,2,3,4,0
0.9,0.1,0.9,0.1,0.1,12,2,10,2,2,0,0,1,3,2,4,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,2,4,3,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,3,3,3,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,2,3,4,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,1,4,4,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,1,2,4,4,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,3,3,3,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,3,2,4,2,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,2,2,5,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,2,1,6,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,2,5,2,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,2,3,4,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,3,2,3,3,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,3,4,2,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,1,3,5,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,2,3,4,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,2,4,3,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,2,2,5,3,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,3,1,5,0
0.9,0.1,0.9,0.1,0.1,12,2,11,2,2,0,0,2,2,4,3,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,1,0,8,3,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,1,2,5,4,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,2,2,4,4,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,2,2,4,4,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,2,2,4,4,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,2,2,4,4,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,2,3,3,4,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,1,4,3,4,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,2,2,4,4,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,2,2,7,1,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,2,2,0,8,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,3,2,4,3,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,2,2,3,5,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,3,1,6,2,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,3,2,3,4,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,2,3,3,4,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,1,3,3,5,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,2,2,4,5,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,2,2,5,3,0
0.9,0.1,0.9,0.1,0.1,12,2,12,2,2,0,0,3,2,2,5,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,3,2,3,5,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,2,2,9,0,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,3,2,4,4,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,3,2,4,4,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,3,2,4,4,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,3,2,4,4,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,4,2,3,4,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,3,2,4,4,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,2,3,2,6,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,2,2,5,4,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,1,2,4,6,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,2,2,1,8,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,2,3,2,6,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,2,2,4,5,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,2,2,3,6,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,3,4,3,3,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,2,2,4,5,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,2,2,6,3,0
0.9,0.1,0.9,0.1,0.1,12,2,13,2,2,0,0,2,2,5,4,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,3,2,5,4,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,3,2,5,4,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,3,2,5,4,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,2,2,2,8,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,1,2,8,3,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,3,1,6,4,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,2,4,3,5,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,2,2,8,2,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,4,2,5,3,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,2,2,5,5,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,3,0,2,9,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,3,3,6,2,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,2,4,4,4,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,2,2,5,5,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,3,2,6,3,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,3,3,1,7,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,5,4,3,2,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,3,2,6,3,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,2,2,7,3,0
0.9,0.1,0.9,0.1,0.1,12,2,14,2,2,0,0,3,2,6,3,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,2,3,3,7,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,2,2,4,7,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,2,2,7,4,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,2,2,3,8,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,2,3,3,7,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,2,2,5,6,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,2,2,4,7,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,3,2,3,7,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,2,2,10,1,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,2,2,6,5,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,0,2,7,6,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,2,4,5,4,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,2,4,4,5,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,2,3,5,5,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,3,2,5,5,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,2,2,4,7,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,3,2,5,5,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,2,2,7,4,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,2,2,5,6,0
0.9,0.1,0.9,0.1,0.1,12,2,15,2,2,0,0,2,2,7,4,0
0.9,0.1,0.9,0.1,0.1,12,2,16,2,2,0,0,2,3,3,8,0
0.9,0.1,0.9,0.1,0.1,12,2,16,2,2,0,0,2,2,6,6,0
0.9,0.1,0.9,0.1,0.1,12,2,16,2,2,0,0,2,3,6,5,0
0.9,0.1,0.9,0.1,0.1,12,2,16,2,2,0,0,2,2,6,6,0
0.9,0.1,0.9,0.1,0.1,12,2,16,2,2,0,0,2,1,8,5,0
0.9,0.1,0.9,0.1,0.1,12,2,16,2,2,0,0,4,2,4,6,0
0.9,0.1,0.9,0.1,0.1,12,2,16,2,2,0,0,3,2,3,8,0
0.9,0.1,0.9,0.1,0.1,12,2,16,2,2,0,0,3,0,8,5,0
0.9,0.1,0.9,0.1,0.1,12,2,16,2,2,0,0,2,4,1,9,0
0.9,0.1,0.9,0.1,0.1,12,2,16,2,2,0,0,2,2,5,7,0
0.9,0.1,0.9,0.1,0.1,12,2,16,2,2,0,0,3,3,3,7,0
0.9,0.1,0.9,0.1,0.1,12,2,16,2,2,0,0,3,3,6,4,0
0.9,0.1,0.9,0.1,0.1,12,2,16,2,2,0,0,3,2,4,7,0
